DOI,atom,cavity,circuit,coherence,computation,control,couple,decoherence,detection,dynamic,entanglement,environment,error,excitation,experiment,fidelity,field,gate,information,interaction,ion,laser,level,measurement,mode,noise,number,parameter,phase,photon,process,pulse,quantum,quantum bit,quantum computing,quantum gate,quantum state,quantum system,qubit,scheme,source,spin,state,surface,transition,trap,trapped ion
10.1088/0256-307X/30/7/073701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,4.14,0.0,1.37,0.18
10.1103/PhysRevLett.110.263002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,4.14,0.0,1.33,1.03,2.65,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.29,2.07,0.0,1.22,0.0,1.69,0.0,0.12
10.1103/PhysRevLett.111.230507,0.0,1.69,0.0,1.9,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,1.21,0.0,0.0,0.0,3.65,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,6.44,0.0,0.0,1.62,0.0,0.0,0.0,0.06
10.1088/1367-2630/15/8/083001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,6.09,0.0,0.0,0.0,3.52,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.58,2.07,0.0,0.0,0.0,0.0,0.0,0.12
10.1103/PhysRevA.87.062336,0.0,0.0,3.96,0.0,1.9,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,2.75,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.06
10.1038/srep01180,0.0,3.39,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,1.83,0.0,1.63,0.0,1.9,0.0,0.0,1.83,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.06
10.1103/PhysRevA.87.032325,0.0,0.0,1.98,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.06
10.1038/NNANO.2013.117,0.0,0.0,0.0,1.9,0.0,0.0,0.0,3.39,0.0,0.0,0.0,1.76,1.52,0.0,0.0,0.0,1.03,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.12,0.0,2.07,13.23,0.81,0.0,8.47,0.0,0.06
10.1140/epjst/e2013-01751-1,2.07,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,7.35,0.41,0.0,0.0,0.0,0.06
10.1038/NPHOTON.2013.287,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.81,0.0,0.0,0.0,0.06
