DOI,gate,error,code,state,fidelity,ion,noise,measurement,spin,photon,interaction,entanglement,field,trap,quantum computer,circuit,phase,fault,control,algorithm,information,protocol,scheme,laser,frequency,dynamic,quantum computing,transition,mode,hardware,simulation,number,crosstalk,crystal,detection,optimization,device,architecture,quantum processor,platform,trapped ion,parameter,rate,scale,array,qudit,datum
10.3390/sym13122243,0.0,0.0,0.0,0.62,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,0.0,0.0,0.0,0.0,1.94,0.0,0.0,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/s41565-021-00925-0,0.0,1.9,0.0,2.48,2.0,0.0,0.0,1.46,7.59,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,3.07,0.48,0.0,0.0,4.83,2.27,0.0,0.0
10.1088/2058-9565/ac1c41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.48,0.0,0.0,0.0,2.27,0.0,0.0
10.1088/1361-6455/ac2984,0.64,0.0,0.0,0.0,2.0,2.14,1.78,0.0,0.0,9.38,0.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,1.69,0.0,0.0,11.38,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
10.1016/j.optlastec.2021.107190,4.51,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,2.03,0.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PRXQuanttun.2.020331,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,11.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,1.43,1.88,0.0,0.0,0.0,0.0,0.0
10.1140/epjqt/s40507-021-00105-y,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,5.12,0.0,0.0,6.09,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.48,0.0,0.0,1.61,0.0,0.0,0.0
10.1038/s41567-021-01237-9,0.64,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,1.88,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.48,1.88,0.0,0.0,0.0,0.0,0.0
10.1038/s41534-021-00396-0,0.0,0.95,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,2.03,1.44,0.0,1.67,1.46,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,5.35,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.95,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevX.11.031049,0.0,0.0,0.0,0.62,0.0,0.0,0.0,1.46,0.0,1.88,0.0,0.0,0.0,0.0,2.19,2.9,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,3.97,2.05,1.82,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
