DOI,Institutions
10.1007/s11433-016-0015-3,"S China Normal Univ,Tsinghua Univ,Fudan Univ,Univ Hong Kong,Nanjing Univ"
10.1109/LED.2018.2880303,"Univ Toronto,GlobalFoundries Fab1 LLC & Co KG,CEA Leti,Lake Shore Cryotron Inc,IMT Bucharest,George Washington Univ,Univ Waterloo,Keysight Technol,Univ Calif San Diego"
10.1038/ncomms13575,"Univ Grenoble Alpes,CEA"
10.1126/science.1217692,"Harvard Univ,Weizmann Inst Sci"
10.1038/s41467-021-24371-7,"Univ New South Wales,Keio Univ,Univ Sydney,Tokyo Inst Technol,Swiss Fed Inst Technol"
10.1038/s41467-024-49358-y,"Delft Univ Technol,QuTech,Netherlands Org Appl Sci Res TNO"
10.1103/PhysRevApplied.11.061006,"Princeton Univ,HRL Labs LLC"
10.1038/s41534-023-00679-8,"Riverlane,Hitachi Cambridge Lab,Quantum Mot Technol"
10.1103/PhysRevLett.123.063601,"Delft Univ Technol,Netherlands Org Appl Sci Res TNO,Univ Montpellier,CNRS"
10.1038/ncomms2776,"Linkoping Univ,Chinese Acad Sci,Paul Drude Inst Festkorpelekt,Natl Renewable Energy Lab,Univ Calif"
10.1103/PRXQuantum.5.040328,"Univ Oxford,Quantum Mot,UCL"
10.1038/s41467-022-28133-x,"Temple Univ,Acad Sinica,Northeastern Univ"
10.1038/nphoton.2014.84,"Naval Res Lab,Sotera Def Solut,US Naval Acad"
10.1038/s41565-019-0488-9,"Delft Univ Technol,QuTech,Netherlands Org Appl Sci Res TNO"
10.1126/sciadv.1602811,"Univ New South Wales,Purdue Univ,Univ Melbourne,Delft Univ Technol,Monash Univ"
10.1103/PhysRevB.106.155412,"Eotvos Lorand Univ,Budapest Univ Technol & Econ"
10.1063/5.0155448,"Leibniz Inst Kristallzuchtung,IHP Leibniz Inst innovat Mikroelekt,Siltronic AG"
10.1038/s41567-024-02481-5,"Univ Basel,IBM Research Europe Zurich,RIKEN"
10.1038/s41467-021-27880-7,"Univ Sci & Technol China,Univ Sci & Technol,Chinese Acad Sci,Univ New South Wales,SUNY Buffalo,Univ Calif Los Angeles,Origin Quantum Comp Co Ltd"
10.1103/PhysRevB.104.235304,"Univ Belgrade,Pavol Jozef Safarik Univ"
10.1038/s41467-018-06418-4,"IST Austria,Chinese Acad Sci,Johannes Kepler Univ Linz,Univ Chinese Acad Sci"
10.1103/PhysRevB.107.155301,"Southern Univ Sci & Technol,Int Quantum Acad"
10.1103/PhysRevB.99.104425,"Harvard Univ,Univ Calif Berkeley"
10.1063/5.0160847,"QuTech,Delft Univ Technol,Netherlands Org Appl Sci Res TNO"
10.1038/s41598-020-77047-5,"Aix Marseille Univ,Univ Lille,Univ Groningen,Florida State Univ"
10.1016/j.jmmm.2015.06.069,"Tel Aviv Univ,Southern Fed Univ,Voronezh State Univ"
10.1038/s41534-021-00403-4,"Univ Tokyo,RIKEN,Univ Sydney,Ruhr Univ Bochum,Tokyo Inst Technol,Tohoku Univ"
10.1038/s41534-022-00645-w,"UNSW Sydney,Diraq,Keibniz Inst Kristallzuchtung,Vitcon Projectconsult GmbH,Simon Fraser Univ"
10.1103/PhysRevB.99.205415,"Forschungszentrum Julich,Rhein Westfal TH Aachen,UNSW"
10.1002/ejic.202300125,"Tohoku Univ,Nara Womens Univ,Osaka Metropolitan Univ,Nankai Univ"
10.1038/s41534-021-00470-7,"Osaka Univ,Ruhr Univ Bochum"
10.1103/PhysRevLett.124.023602,"MIT,Univ Cambridge,Univ Oxford,SUNY Polytech Inst,Humboldt Univ"
10.1103/PhysRevB.107.125415,"Univ Lille,Univ Grenoble Alpes"
10.1038/s41567-024-02497-x,"Delft Univ Technol,Univ Copenhagen"
10.1103/PhysRevB.91.205434,"Univ Wisconsin,SUNY Buffalo,Lab Phys Sci"
10.1038/s41563-020-0743-3,"Univ New South Wales Sydney,Tohoku Univ,Univ New South Wales Canberra,Univ Melbourne,Leibniz Inst Kristallzuchtung,PTB Braunschweig,VITCON Projectconsult,RIKEN"
10.1038/s41928-022-00722-0,"Univ Basel,IBM Res Zurich"
10.1038/s41467-020-14818-8,"RIKEN,Univ New South Wales,Tokyo Inst Technol"
10.1103/PhysRevB.106.075415,"Univ Konstanz,IQM"
10.1103/PhysRevLett.105.216803,"Harvard Univ,Weizmann Inst Sci"
10.1038/s41467-018-07522-1,"RIKEN,Univ Paris Diderot,Tohoku Univ,JST,Univ Tokyo,Ruhr Univ Bochum,Univ Basel"
10.1103/PhysRevApplied.14.014059,"Univ Oxford,Quantum Mot Technol Ltd"
10.1088/1054-660X/24/4/045204,"Yanbian Univ,Harbin Inst Technol"
